"fare_id","route_id","origin_id","destination_id","contains_id"
"5_1_200_20250915","5_1_20250915","56_1","116_1",
"5_1_200_20250915","5_1_20250915","56_2","3000_1",
"5_1_200_20250915","5_1_20250915","56_2","3001_2",
"5_1_200_20250915","5_1_20250915","56_1","3002_1",
"5_1_200_20250915","5_1_20250915","56_1","3003_1",
"5_1_200_20250915","5_1_20250915","56_1","3004_1",
"5_1_200_20250915","5_1_20250915","56_1","3005_1",
"5_1_200_20250915","5_1_20250915","56_1","3006_1",
"5_1_200_20250915","5_1_20250915","56_1","3007_1",
"5_1_200_20250915","5_1_20250915","56_1","3008_1",
"5_1_200_20250915","5_1_20250915","56_1","3009_1",
"5_1_200_20250915","5_1_20250915","56_1","3010_1",
"5_1_200_20250915","5_1_20250915","56_1","3011_1",
"5_1_200_20250915","5_1_20250915","116_2","56_2",
"5_1_200_20250915","5_1_20250915","116_2","3000_1",
"5_1_200_20250915","5_1_20250915","116_2","3001_2",
"5_1_200_20250915","5_1_20250915","116_2","3002_2",
"5_1_200_20250915","5_1_20250915","116_2","3003_2",
"5_1_200_20250915","5_1_20250915","116_2","3004_2",
"5_1_200_20250915","5_1_20250915","116_2","3005_2",
"5_1_200_20250915","5_1_20250915","116_2","3006_2",
"5_1_200_20250915","5_1_20250915","116_2","3007_2",
"5_1_200_20250915","5_1_20250915","116_2","3008_2",
"5_1_200_20250915","5_1_20250915","116_2","3009_2",
"5_1_200_20250915","5_1_20250915","116_2","3010_2",
"5_1_200_20250915","5_1_20250915","116_2","3011_2",
"5_1_200_20250915","5_1_20250915","3000_1","56_1",
"5_1_200_20250915","5_1_20250915","3000_1","116_1",
"5_1_200_20250915","5_1_20250915","3000_1","3001_1",
"5_1_200_20250915","5_1_20250915","3000_1","3002_1",
"5_1_200_20250915","5_1_20250915","3000_1","3003_1",
"5_1_200_20250915","5_1_20250915","3000_1","3004_1",
"5_1_200_20250915","5_1_20250915","3000_1","3005_1",
"5_1_200_20250915","5_1_20250915","3000_1","3006_1",
"5_1_200_20250915","5_1_20250915","3000_1","3007_1",
"5_1_200_20250915","5_1_20250915","3000_1","3008_1",
"5_1_200_20250915","5_1_20250915","3000_1","3009_1",
"5_1_200_20250915","5_1_20250915","3000_1","3010_1",
"5_1_200_20250915","5_1_20250915","3000_1","3011_1",
"5_1_200_20250915","5_1_20250915","3001_1","56_1",
"5_1_200_20250915","5_1_20250915","3001_1","116_1",
"5_1_200_20250915","5_1_20250915","3001_2","3000_1",
"5_1_200_20250915","5_1_20250915","3001_1","3002_1",
"5_1_200_20250915","5_1_20250915","3001_1","3003_1",
"5_1_200_20250915","5_1_20250915","3001_1","3004_1",
"5_1_200_20250915","5_1_20250915","3001_1","3005_1",
"5_1_200_20250915","5_1_20250915","3001_1","3006_1",
"5_1_200_20250915","5_1_20250915","3001_1","3007_1",
"5_1_200_20250915","5_1_20250915","3001_1","3008_1",
"5_1_200_20250915","5_1_20250915","3001_1","3009_1",
"5_1_200_20250915","5_1_20250915","3001_1","3010_1",
"5_1_200_20250915","5_1_20250915","3001_1","3011_1",
"5_1_200_20250915","5_1_20250915","3002_2","56_2",
"5_1_200_20250915","5_1_20250915","3002_1","116_1",
