"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"5_3_511_1_2_20250915","07:10:00","07:10:00","3000_1","1",,"0","1",
"5_3_511_1_2_20250915","07:13:00","07:13:00","3001_1","2",,"0","0",
"5_3_511_1_2_20250915","07:15:00","07:15:00","56_1","3",,"0","0",
"5_3_511_1_2_20250915","07:17:00","07:17:00","3002_1","4",,"0","0",
"5_3_511_1_2_20250915","07:19:00","07:19:00","3003_1","5",,"0","0",
"5_3_511_1_2_20250915","07:21:00","07:21:00","3004_1","6",,"0","0",
"5_3_511_1_2_20250915","07:23:00","07:23:00","3005_1","7",,"0","0",
"5_3_511_1_2_20250915","07:25:00","07:25:00","3006_1","8",,"0","0",
"5_3_511_1_2_20250915","07:27:00","07:27:00","3007_1","9",,"0","0",
"5_3_511_1_2_20250915","07:29:00","07:29:00","3008_1","10",,"0","0",
"5_3_511_1_2_20250915","07:31:00","07:31:00","3009_1","11",,"0","0",
"5_3_511_1_2_20250915","07:32:00","07:32:00","3010_1","12",,"0","0",
"5_3_511_1_2_20250915","07:34:00","07:34:00","3011_1","13",,"0","0",
"5_3_511_1_2_20250915","07:35:00","07:35:00","116_1","14",,"1","0",
"5_3_511_1_4_20250915","07:55:00","07:55:00","3000_1","1",,"0","1",
"5_3_511_1_4_20250915","07:58:00","07:58:00","3001_1","2",,"0","0",
"5_3_511_1_4_20250915","08:00:00","08:00:00","56_1","3",,"0","0",
"5_3_511_1_4_20250915","08:02:00","08:02:00","3002_1","4",,"0","0",
"5_3_511_1_4_20250915","08:04:00","08:04:00","3003_1","5",,"0","0",
"5_3_511_1_4_20250915","08:06:00","08:06:00","3004_1","6",,"0","0",
"5_3_511_1_4_20250915","08:08:00","08:08:00","3005_1","7",,"0","0",
"5_3_511_1_4_20250915","08:10:00","08:10:00","3006_1","8",,"0","0",
"5_3_511_1_4_20250915","08:12:00","08:12:00","3007_1","9",,"0","0",
"5_3_511_1_4_20250915","08:14:00","08:14:00","3008_1","10",,"0","0",
"5_3_511_1_4_20250915","08:16:00","08:16:00","3009_1","11",,"0","0",
"5_3_511_1_4_20250915","08:17:00","08:17:00","3010_1","12",,"0","0",
"5_3_511_1_4_20250915","08:19:00","08:19:00","3011_1","13",,"0","0",
"5_3_511_1_4_20250915","08:20:00","08:20:00","116_1","14",,"1","0",
"5_3_511_1_6_20250915","08:30:00","08:30:00","3000_1","1",,"0","1",
"5_3_511_1_6_20250915","08:33:00","08:33:00","3001_1","2",,"0","0",
"5_3_511_1_6_20250915","08:35:00","08:35:00","56_1","3",,"0","0",
"5_3_511_1_6_20250915","08:37:00","08:37:00","3002_1","4",,"0","0",
"5_3_511_1_6_20250915","08:39:00","08:39:00","3003_1","5",,"0","0",
"5_3_511_1_6_20250915","08:41:00","08:41:00","3004_1","6",,"0","0",
"5_3_511_1_6_20250915","08:43:00","08:43:00","3005_1","7",,"0","0",
"5_3_511_1_6_20250915","08:45:00","08:45:00","3006_1","8",,"0","0",
"5_3_511_1_6_20250915","08:47:00","08:47:00","3007_1","9",,"0","0",
"5_3_511_1_6_20250915","08:49:00","08:49:00","3008_1","10",,"0","0",
"5_3_511_1_6_20250915","08:51:00","08:51:00","3009_1","11",,"0","0",
"5_3_511_1_6_20250915","08:52:00","08:52:00","3010_1","12",,"0","0",
"5_3_511_1_6_20250915","08:54:00","08:54:00","3011_1","13",,"0","0",
"5_3_511_1_6_20250915","08:55:00","08:55:00","116_1","14",,"1","0",
"5_3_511_1_8_20250915","09:15:00","09:15:00","3000_1","1",,"0","1",
"5_3_511_1_8_20250915","09:18:00","09:18:00","3001_1","2",,"0","0",
"5_3_511_1_8_20250915","09:20:00","09:20:00","56_1","3",,"0","0",
"5_3_511_1_8_20250915","09:22:00","09:22:00","3002_1","4",,"0","0",
"5_3_511_1_8_20250915","09:24:00","09:24:00","3003_1","5",,"0","0",
"5_3_511_1_8_20250915","09:26:00","09:26:00","3004_1","6",,"0","0",
"5_3_511_1_8_20250915","09:28:00","09:28:00","3005_1","7",,"0","0",
"5_3_511_1_8_20250915","09:30:00","09:30:00","3006_1","8",,"0","0",
