"table_name","field_name","field_value","language","translation"
"routes","route_long_name","F01 妹尾・北長瀬線","en","F01 Senoo・Kitanagase Line"
"routes","route_long_name","F01 妹尾・北長瀬線","ja","F01 妹尾・北長瀬線"
"routes","route_long_name","F02 妹尾・岡南線","en","F02 Senoo・Konan Line"
"routes","route_long_name","F02 妹尾・岡南線","ja","F02 妹尾・岡南線"
"stops","stop_name","さい","en","Sai"
"stops","stop_name","さい","ja","さい"
"stops","stop_name","さい","ja-Hrkt","サイ"
"stops","stop_name","ドンドン","en","Dondon"
"stops","stop_name","ドンドン","ja","ドンドン"
"stops","stop_name","ドンドン","ja-Hrkt","ドンドン"
"stops","stop_name","ヤットコ","en","Yattoko"
"stops","stop_name","ヤットコ","ja","ヤットコ"
"stops","stop_name","ヤットコ","ja-Hrkt","ヤットコ"
"stops","stop_name","じゅずくり","en","Jozukuri"
"stops","stop_name","じゅずくり","ja","じゅずくり"
"stops","stop_name","じゅずくり","ja-Hrkt","ジュズクリ"
"stops","stop_name","ファーマーズマーケット","en","Farmer's Market"
"stops","stop_name","ファーマーズマーケット","ja","ファーマーズマーケット"
"stops","stop_name","ファーマーズマーケット","ja-Hrkt","ファーマーズマーケット"
"stops","stop_name","ホールサムインせとうち","en","Wholesome Inn Setouchi"
"stops","stop_name","ホールサムインせとうち","ja","ホールサムインせとうち"
"stops","stop_name","ホールサムインせとうち","ja-Hrkt","ホールサムインセトウチ"
"stops","stop_name","DCM岡山・Pモール藤田前","en","DCM Okayama/P.MALL Fujita-mae"
"stops","stop_name","DCM岡山・Pモール藤田前","ja","DCM岡山・Pモール藤田前"
"stops","stop_name","DCM岡山・Pモール藤田前","ja-Hrkt","ディーシーエムオカヤマピーモールフジタマエ"
"stops","stop_name","エブリイOkanaka津高店前","en","Every-Okanaka,Tsudaka"
"stops","stop_name","エブリイOkanaka津高店前","ja","エブリイOkanaka津高店前"
"stops","stop_name","エブリイOkanaka津高店前","ja-Hrkt","エブリイオカナカツダカテンマエ"
"stops","stop_name","一区","en","Ikku"
"stops","stop_name","一区","ja","一区"
"stops","stop_name","一区","ja-Hrkt","イック"
"stops","stop_name","一本松","en","Ipponmatsu"
"stops","stop_name","一本松","ja","一本松"
"stops","stop_name","一本松","ja-Hrkt","イッポンマツ"
"stops","stop_name","七区入口","en","Nanaku Iriguchi"
"stops","stop_name","七区入口","ja","七区入口"
"stops","stop_name","七区入口","ja-Hrkt","ナナクイリグチ"
"stops","stop_name","七島","en","Nanashima"
"stops","stop_name","七島","ja","七島"
"stops","stop_name","七島","ja-Hrkt","ナナシマ"
"stops","stop_name","三井E&S日の田正門前","en","Mitsui E&S Hinota Seimon-mae"
"stops","stop_name","三井E&S日の田正門前","ja","三井E&S日の田正門前"
"stops","stop_name","三井E&S日の田正門前","ja-Hrkt","ミツイイーアンドエスヒノタセイモンマエ"
"stops","stop_name","三井E&S玉正門前","en","Mitsui E&S Tama Seimon-mae"
"stops","stop_name","三井E&S玉正門前","ja","三井E&S玉正門前"
"stops","stop_name","三井E&S玉正門前","ja-Hrkt","ミツイイーアンドエスタマセイモンマエ"
"stops","stop_name","三井製糖前","en","Mitsui Seito-mae"
"stops","stop_name","三井製糖前","ja","三井製糖前"
"stops","stop_name","三井製糖前","ja-Hrkt","ミツイセイトウマエ"
"stops","stop_name","三和紙工前","en","Sanwa Shiko-mae"
"stops","stop_name","三和紙工前","ja","三和紙工前"
"stops","stop_name","三和紙工前","ja-Hrkt","サンワシコウマエ"
"stops","stop_name","三浜町","en","Mihamacho"
"stops","stop_name","三浜町","ja","三浜町"
"stops","stop_name","三浜町","ja-Hrkt","ミハマチョウ"
"stops","stop_name","三田口","en","Mitsudaguchi"
"stops","stop_name","三田口","ja","三田口"
"stops","stop_name","三田口","ja-Hrkt","ミツダグチ"
"stops","stop_name","三菱正門西","en","Mitsubishi Seimon-nishi"
"stops","stop_name","三菱正門西","ja","三菱正門西"
"stops","stop_name","三菱正門西","ja-Hrkt","ミツビシセイモンニシ"
"stops","stop_name","三蟠南","en","Samban-minami"
"stops","stop_name","三蟠南","ja","三蟠南"
"stops","stop_name","三蟠南","ja-Hrkt","サンバンミナミ"
"stops","stop_name","三蟠用水","en","Samban Yosui"
"stops","stop_name","三蟠用水","ja","三蟠用水"
"stops","stop_name","三蟠用水","ja-Hrkt","サンバンヨウスイ"
"stops","stop_name","三蟠農協前","en","Samban Nokyo-mae"
"stops","stop_name","三蟠農協前","ja","三蟠農協前"
"stops","stop_name","三蟠農協前","ja-Hrkt","サンバンノウキョウマエ"
"stops","stop_name","三蟠郵便局前","en","Samban Yubinkyoku-mae"
"stops","stop_name","三蟠郵便局前","ja","三蟠郵便局前"
"stops","stop_name","三蟠郵便局前","ja-Hrkt","サンバンユウビンキョクマエ"
"stops","stop_name","三蟠郵便局北","en","Samban Yubinkyoku-kita"
"stops","stop_name","三蟠郵便局北","ja","三蟠郵便局北"
"stops","stop_name","三蟠郵便局北","ja-Hrkt","サンバンユウビンキョクキタ"
"stops","stop_name","三軒屋","en","Sangen-ya"
"stops","stop_name","三軒屋","ja","三軒屋"
"stops","stop_name","三軒屋","ja-Hrkt","サンケンヤ"
"stops","stop_name","三軒屋自衛隊前","en","Sangenya Jieitai-mae"
"stops","stop_name","三軒屋自衛隊前","ja","三軒屋自衛隊前"
"stops","stop_name","三軒屋自衛隊前","ja-Hrkt","サンゲンヤジエイタイマエ"
"stops","stop_name","三野","en","Mino"
