"service_id","date","exception_type"
"2_1071_20251001","20251013","2"
"2_1072_20251001","20251013","1"
"2_1071_20251001","20251103","2"
"2_1072_20251001","20251103","1"
"2_1071_20251001","20251124","2"
"2_1072_20251001","20251124","1"
"3_1075_20251001","20251013","2"
"3_1076_20251001","20251013","1"
"3_1075_20251001","20251103","2"
"3_1076_20251001","20251103","1"
"3_1075_20251001","20251124","2"
"3_1076_20251001","20251124","1"
"4_1079_20251001","20251013","2"
"4_1080_20251001","20251013","1"
"4_1079_20251001","20251103","2"
"4_1080_20251001","20251103","1"
"4_1079_20251001","20251124","2"
"4_1080_20251001","20251124","1"
