"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"42600_4268_1_500","500","JPY","0","0",
"10800_4030_1_370","370","JPY","0","0",
"20300_2156_1_200","200","JPY","0","0",
"10800_1086_1_250","250","JPY","0","0",
"42400_4242_1_490","490","JPY","0","0",
"43800_14026_1_170","170","JPY","0","0",
"10150_1015_1_210","210","JPY","0","0",
"10200_1036_1_220","220","JPY","0","0",
"10200_1029_1_260","260","JPY","0","0",
"43600_4361_1_380","380","JPY","0","0",
"43600_42420_1_160","160","JPY","0","0",
"43800_4211_1_370","370","JPY","0","0",
"42400_4265_1_470","470","JPY","0","0",
"30500_3055_1_270","270","JPY","0","0",
"10200_1028_1_280","280","JPY","0","0",
"10200_1035_1_300","300","JPY","0","0",
"30600_3063_1_430","430","JPY","0","0",
"10800_4030_1_180","180","JPY","0","0",
"10600_1065_1_240","240","JPY","0","0",
"10800_1089_1_330","330","JPY","0","0",
"220100_2015_1_190","190","JPY","0","0",
"42400_4241_1_400","400","JPY","0","0",
"30100_3012_1_180","180","JPY","0","0",
"43800_4412_1_350","350","JPY","0","0",
"43900_4391_1_410","410","JPY","0","0",
"43900_4391_1_380","380","JPY","0","0",
"30000_3054_1_160","160","JPY","0","0",
"20400_2244_1_200","200","JPY","0","0",
"43800_4211_1_180","180","JPY","0","0",
"20300_2034_1_180","180","JPY","0","0",
"43600_42410_1_180","180","JPY","0","0",
"30500_3057_1_170","170","JPY","0","0",
"10800_1084_1_320","320","JPY","0","0",
"20300_2035_1_210","210","JPY","0","0",
"10600_1069_1_160","160","JPY","0","0",
"30300_3233_1_220","220","JPY","0","0",
"20100_2020_1_290","290","JPY","0","0",
"30500_3055_1_230","230","JPY","0","0",
"10150_1016_1_240","240","JPY","0","0",
"20400_2145_1_180","180","JPY","0","0",
"43800_4382_1_220","220","JPY","0","0",
"10100_1014_1_310","310","JPY","0","0",
"10001_2028_1_240","240","JPY","0","0",
"10800_4042_1_170","170","JPY","0","0",
"20300_2058_1_420","420","JPY","0","0",
"10400_1044_1_360","360","JPY","0","0",
"10200_1021_1_210","210","JPY","0","0",
"20300_2034_1_370","370","JPY","0","0",
"30600_3064_1_660","660","JPY","0","0",
"30300_3332_1_220","220","JPY","0","0",
"20100_2014_1_200","200","JPY","0","0",
"20100_2083_1_350","350","JPY","0","0",
"11200_1062_1_210","210","JPY","0","0",
"43900_4392_1_280","280","JPY","0","0",
"10400_1043_1_210","210","JPY","0","0",
"30500_3056_1_360","360","JPY","0","0",
"42600_4068_1_220","220","JPY","0","0",
"10600_1066_1_200","200","JPY","0","0",
"43800_4382_1_360","360","JPY","0","0",
"43600_4362_1_180","180","JPY","0","0",
"20300_2131_1_260","260","JPY","0","0",
"43700_4372_1_400","400","JPY","0","0",
"10200_1026_1_370","370","JPY","0","0",
"20400_2243_1_170","170","JPY","0","0",
"43900_4025_1_300","300","JPY","0","0",
"43600_42420_1_310","310","JPY","0","0",
"41200_4202_1_340","340","JPY","0","0",
"30300_3431_1_200","200","JPY","0","0",
"220100_2015_1_210","210","JPY","0","0",
"10200_1029_1_290","290","JPY","0","0",
"41200_4261_1_250","250","JPY","0","0",
"10800_1083_1_470","470","JPY","0","0",
"30500_3056_1_220","220","JPY","0","0",
"30000_3054_1_310","310","JPY","0","0",
"11200_1061_1_170","170","JPY","0","0",
"42600_4068_1_360","360","JPY","0","0",
"10800_4044_1_400","400","JPY","0","0",
"10200_1026_1_180","180","JPY","0","0",
"10800_1083_1_390","390","JPY","0","0",
"10150_1015_1_190","190","JPY","0","0",
"20100_2073_1_220","220","JPY","0","0",
"43800_4386_1_320","320","JPY","0","0",
"20400_2245_1_230","230","JPY","0","0",
"43800_4072_1_350","350","JPY","0","0",
"10100_1014_1_160","160","JPY","0","0",
"30600_3060_1_410","410","JPY","0","0",
"43700_4388_1_220","220","JPY","0","0",
"10400_1043_1_190","190","JPY","0","0",
"20100_2020_1_260","260","JPY","0","0",
"11200_1062_1_190","190","JPY","0","0",
"20400_2246_1_260","260","JPY","0","0",
"30600_3060_1_380","380","JPY","0","0",
