"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_1005_1","2_1095_20260401","1095_1103219_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100216_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1101118_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1110114_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1101619_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1113814_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112618_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_11038111_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1113217_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1111733_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1111037_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1103924_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1110835_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1104116_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100426_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1102916_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112914_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112018_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112013_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1103028_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1102624_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1110417_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1110827_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112025_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100626_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_11140111_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100814_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1110917_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1102627_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1101134_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1101516_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1112514_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100916_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1103014_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1100423_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1102619_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1005_1","2_1095_20260401","1095_1103826_20260401","大学病院",,,,"2_1005_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1102917_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103026_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101116_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103922_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1100832_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1104132_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1104117_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1110836_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1096_20260401","1096_2102522_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1102625_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101813_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101135_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101124_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1096_20260401","1096_2100913_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101622_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1112019_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1100427_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1110825_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103925_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1100932_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103029_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1112014_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1111912_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103822_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1101132_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1103322_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1113232_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1006_1","2_1095_20260401","1095_1100424_20260401","岡山駅",,,,"2_1006_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_2103316_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_2103227_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1095_20260401","1095_1111136_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_2111726_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1095_20260401","1095_1110217_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_21005211_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1095_20260401","1095_1100227_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_21120110_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1095_20260401","1095_1102927_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1095_20260401","1095_1112816_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1007_1","2_1096_20260401","1096_2112116_20260401","岡南営業所",,,,"2_1007_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2111431_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1100531_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103831_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1110231_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103341_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1110831_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1100431_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1100421_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103421_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1113111_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1103121_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103321_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2111921_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2112031_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1113421_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2110231_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2112241_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2101641_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1103231_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1111631_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1114111_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1112021_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2104121_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103021_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1102931_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1112011_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1100111_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1102821_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1110431_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2110831_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1110711_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1100121_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1104531_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2100121_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1102521_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2112141_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2103121_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1110531_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2111321_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1096_20260401","1096_2104131_20260401","岡山駅",,,,"2_1008_1",,,"2"
"10001_1008_1","2_1095_20260401","1095_1111621_20260401","岡山駅",,,,"2_1008_1",,,"2"
