shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1001_0,34.665541,133.920474,1
1001_0,34.6656253,133.9301692,2
1001_0,34.6655636,133.9303538,3
1001_0,34.665418,133.930445,4
1001_0,34.6584211,133.9305442,5
1001_0,34.6583174,133.9306247,6
1001_0,34.658271,133.9307896,7
1001_0,34.6581699,133.9321536,8
1001_0,34.6574926,133.9378761,9
1001_0,34.6574077,133.9380075,10
1001_0,34.6572742,133.9380357,11
1001_0,34.6564468,133.9377125,12
1001_0,34.6562902,133.9377822,13
1001_0,34.6562118,133.9379646,14
1001_0,34.656224,133.9427296,15
1001_1,34.656224,133.9427296,1
1001_1,34.6562118,133.9379646,2
1001_1,34.6562902,133.9377822,3
1001_1,34.6564468,133.9377125,4
1001_1,34.6572742,133.9380357,5
1001_1,34.6574077,133.9380075,6
1001_1,34.6574926,133.9378761,7
1001_1,34.6581699,133.9321536,8
1001_1,34.658271,133.9307896,9
1001_1,34.6583174,133.9306247,10
1001_1,34.6584211,133.9305442,11
1001_1,34.665418,133.930445,12
1001_1,34.6655636,133.9303538,13
1001_1,34.6656253,133.9301692,14
1001_1,34.665541,133.920474,15
1002_0,34.665541,133.920474,1
1002_0,34.6656386,133.9260625,2
1002_0,34.6655757,133.9261752,3
1002_0,34.6654709,133.9262489,4
1002_0,34.6605271,133.9262677,5
1002_0,34.6584426,133.9263589,6
1002_0,34.6524347,133.9261202,7
1002_0,34.6522392,133.9260577,8
1002_0,34.6517746,133.9258235,9
1002_1,34.6517746,133.9258235,1
1002_1,34.6522392,133.9260577,2
1002_1,34.6524347,133.9261202,3
1002_1,34.6584426,133.9263589,4
1002_1,34.6605271,133.9262677,5
1002_1,34.6654709,133.9262489,6
1002_1,34.6655757,133.9261752,7
1002_1,34.6656386,133.9260625,8
1002_1,34.665541,133.920474,9
