trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1001_0_00_001,06:16:00,06:16:00,岡山駅前#0,0,,0,0
1001_0_00_001,06:17:00,06:17:00,西川緑道公園#1,1,,0,0
1001_0_00_001,06:18:00,06:18:00,柳川#1,2,,0,0
1001_0_00_001,06:20:00,06:20:00,城下#1,3,,0,0
1001_0_00_001,06:22:00,06:22:00,県庁通り#2,4,,0,0
1001_0_00_001,06:23:00,06:23:00,西大寺町#1,5,,0,0
1001_0_00_001,06:26:00,06:26:00,小橋#1,6,,0,0
1001_0_00_001,06:26:00,06:26:00,中納言#1,7,,0,0
1001_0_00_001,06:27:00,06:27:00,門田屋敷#1,8,,0,0
1001_0_00_001,06:33:00,06:33:00,東山#1,9,,0,0
1001_0_00_002,06:34:00,06:34:00,岡山駅前#0,0,,0,0
1001_0_00_002,06:35:00,06:35:00,西川緑道公園#1,1,,0,0
1001_0_00_002,06:36:00,06:36:00,柳川#1,2,,0,0
1001_0_00_002,06:38:00,06:38:00,城下#1,3,,0,0
1001_0_00_002,06:40:00,06:40:00,県庁通り#2,4,,0,0
1001_0_00_002,06:41:00,06:41:00,西大寺町#1,5,,0,0
1001_0_00_002,06:44:00,06:44:00,小橋#1,6,,0,0
1001_0_00_002,06:44:00,06:44:00,中納言#1,7,,0,0
1001_0_00_002,06:45:00,06:45:00,門田屋敷#1,8,,0,0
1001_0_00_002,06:51:00,06:51:00,東山#1,9,,0,0
1001_0_00_003,06:56:00,06:56:00,岡山駅前#0,0,,0,0
1001_0_00_003,06:57:00,06:57:00,西川緑道公園#1,1,,0,0
1001_0_00_003,06:58:00,06:58:00,柳川#1,2,,0,0
1001_0_00_003,07:00:00,07:00:00,城下#1,3,,0,0
1001_0_00_003,07:02:00,07:02:00,県庁通り#2,4,,0,0
1001_0_00_003,07:03:00,07:03:00,西大寺町#1,5,,0,0
1001_0_00_003,07:06:00,07:06:00,小橋#1,6,,0,0
1001_0_00_003,07:06:00,07:06:00,中納言#1,7,,0,0
1001_0_00_003,07:07:00,07:07:00,門田屋敷#1,8,,0,0
1001_0_00_003,07:15:00,07:15:00,東山#1,9,,0,0
1001_0_00_004,07:03:00,07:03:00,岡山駅前#0,0,,0,0
1001_0_00_004,07:04:00,07:04:00,西川緑道公園#1,1,,0,0
1001_0_00_004,07:05:00,07:05:00,柳川#1,2,,0,0
1001_0_00_004,07:07:00,07:07:00,城下#1,3,,0,0
1001_0_00_004,07:09:00,07:09:00,県庁通り#2,4,,0,0
1001_0_00_004,07:10:00,07:10:00,西大寺町#1,5,,0,0
1001_0_00_004,07:13:00,07:13:00,小橋#1,6,,0,0
1001_0_00_004,07:13:00,07:13:00,中納言#1,7,,0,0
1001_0_00_004,07:14:00,07:14:00,門田屋敷#1,8,,0,0
1001_0_00_004,07:25:00,07:25:00,東山#1,9,,0,0
1001_0_00_005,07:12:00,07:12:00,岡山駅前#0,0,,0,0
1001_0_00_005,07:13:00,07:13:00,西川緑道公園#1,1,,0,0
1001_0_00_005,07:14:00,07:14:00,柳川#1,2,,0,0
1001_0_00_005,07:16:00,07:16:00,城下#1,3,,0,0
1001_0_00_005,07:18:00,07:18:00,県庁通り#2,4,,0,0
1001_0_00_005,07:19:00,07:19:00,西大寺町#1,5,,0,0
1001_0_00_005,07:22:00,07:22:00,小橋#1,6,,0,0
1001_0_00_005,07:22:00,07:22:00,中納言#1,7,,0,0
1001_0_00_005,07:23:00,07:23:00,門田屋敷#1,8,,0,0
1001_0_00_005,07:35:00,07:35:00,東山#1,9,,0,0
1001_0_00_006,07:20:00,07:20:00,岡山駅前#0,0,,0,0
1001_0_00_006,07:21:00,07:21:00,西川緑道公園#1,1,,0,0
1001_0_00_006,07:22:00,07:22:00,柳川#1,2,,0,0
1001_0_00_006,07:24:00,07:24:00,城下#1,3,,0,0
1001_0_00_006,07:26:00,07:26:00,県庁通り#2,4,,0,0
1001_0_00_006,07:27:00,07:27:00,西大寺町#1,5,,0,0
1001_0_00_006,07:30:00,07:30:00,小橋#1,6,,0,0
1001_0_00_006,07:30:00,07:30:00,中納言#1,7,,0,0
1001_0_00_006,07:31:00,07:31:00,門田屋敷#1,8,,0,0
1001_0_00_006,07:40:00,07:40:00,東山#1,9,,0,0
1001_0_00_007,07:25:00,07:25:00,岡山駅前#0,0,,0,0
1001_0_00_007,07:26:00,07:26:00,西川緑道公園#1,1,,0,0
1001_0_00_007,07:27:00,07:27:00,柳川#1,2,,0,0
1001_0_00_007,07:29:00,07:29:00,城下#1,3,,0,0
1001_0_00_007,07:31:00,07:31:00,県庁通り#2,4,,0,0
1001_0_00_007,07:32:00,07:32:00,西大寺町#1,5,,0,0
1001_0_00_007,07:35:00,07:35:00,小橋#1,6,,0,0
1001_0_00_007,07:35:00,07:35:00,中納言#1,7,,0,0
1001_0_00_007,07:36:00,07:36:00,門田屋敷#1,8,,0,0
1001_0_00_007,07:45:00,07:45:00,東山#1,9,,0,0
1001_0_00_008,07:30:00,07:30:00,岡山駅前#0,0,,0,0
1001_0_00_008,07:31:00,07:31:00,西川緑道公園#1,1,,0,0
1001_0_00_008,07:32:00,07:32:00,柳川#1,2,,0,0
1001_0_00_008,07:34:00,07:34:00,城下#1,3,,0,0
1001_0_00_008,07:36:00,07:36:00,県庁通り#2,4,,0,0
1001_0_00_008,07:37:00,07:37:00,西大寺町#1,5,,0,0
1001_0_00_008,07:40:00,07:40:00,小橋#1,6,,0,0
1001_0_00_008,07:40:00,07:40:00,中納言#1,7,,0,0
1001_0_00_008,07:46:00,07:46:00,門田屋敷#1,8,,0,0
1001_0_00_008,07:55:00,07:55:00,東山#1,9,,0,0
