"service_id","date","exception_type"
"20_1012_20260401","20260429","2"
"20_1013_20260401","20260429","1"
"21_1041_20260401","20260429","2"
"21_1040_20260401","20260429","1"
"25_1025_20260401","20260404","2"
"25_1024_20260401","20260404","1"
"25_1025_20260401","20260405","2"
"25_1024_20260401","20260405","1"
"25_1025_20260401","20260411","2"
"25_1024_20260401","20260411","1"
"25_1025_20260401","20260412","2"
"25_1024_20260401","20260412","1"
"25_1025_20260401","20260418","2"
"25_1024_20260401","20260418","1"
"25_1025_20260401","20260419","2"
"25_1024_20260401","20260419","1"
"25_1025_20260401","20260425","2"
"25_1024_20260401","20260425","1"
"25_1025_20260401","20260426","2"
"25_1024_20260401","20260426","1"
"25_1022_20260401","20260429","2"
"25_1024_20260401","20260429","1"
"29_1014_20260401","20260401","2"
"29_1015_20260401","20260401","1"
"29_1014_20260401","20260402","2"
"29_1015_20260401","20260402","1"
"29_1014_20260401","20260403","2"
"29_1015_20260401","20260403","1"
"29_1014_20260401","20260429","2"
"29_1017_20260401","20260429","1"
