"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"25002_250475_1_910","910","JPY","0","0",
"25004_250591_1_250","250","JPY","0","0",
"25002_250478_1_400","400","JPY","0","0",
"25004_250611_1_270","270","JPY","0","0",
"29007_290114_1_210","210","JPY","0","0",
"25003_537_1_310","310","JPY","0","0",
"25003_574_1_390","390","JPY","0","0",
"29005_292011_1_430","430","JPY","0","0",
"25003_531_1_460","460","JPY","0","0",
"21002_210012_1_170","170","JPY","0","0",
"20001_200213_1_700","700","JPY","0","0",
"25003_506_1_700","700","JPY","0","0",
"25003_545_1_200","200","JPY","0","0",
"25003_505_1_500","500","JPY","0","0",
"25002_250476_1_910","910","JPY","0","0",
"25002_250478_1_590","590","JPY","0","0",
"25003_506_1_550","550","JPY","0","0",
"25003_574_1_470","470","JPY","0","0",
"20001_200213_1_550","550","JPY","0","0",
"29007_290112_1_260","260","JPY","0","0",
"20001_200214_1_350","350","JPY","0","0",
"25004_250611_1_850","850","JPY","0","0",
"25003_541_1_210","210","JPY","0","0",
"25004_250595_1_500","500","JPY","0","0",
"21002_210022_1_220","220","JPY","0","0",
"29010_290634_1_250","250","JPY","0","0",
"21004_210061_1_200","200","JPY","0","0",
"25004_250611_1_630","630","JPY","0","0",
"25002_250471_1_330","330","JPY","0","0",
"25003_531_1_520","520","JPY","0","0",
"25003_535_1_600","600","JPY","0","0",
"21005_210332_1_260","260","JPY","0","0",
"29003_290551_1_330","330","JPY","0","0",
"25004_250652_1_810","810","JPY","0","0",
"25006_250816_1_250","250","JPY","0","0",
"21002_210025_1_300","300","JPY","0","0",
"20001_200212_1_210","210","JPY","0","0",
"25004_250611_1_230","230","JPY","0","0",
"21002_210034_1_320","320","JPY","0","0",
"21002_210011_1_210","210","JPY","0","0",
"20001_200214_1_460","460","JPY","0","0",
"25003_517_1_470","470","JPY","0","0",
"29005_291012_1_510","510","JPY","0","0",
"25002_250478_1_880","880","JPY","0","0",
"29007_290111_1_370","370","JPY","0","0",
"25002_250478_1_800","800","JPY","0","0",
"25002_250477_1_900","900","JPY","0","0",
"25001_250462_1_670","670","JPY","0","0",
"25001_250462_1_560","560","JPY","0","0",
"25003_535_1_440","440","JPY","0","0",
"25006_816_1_750","750","JPY","0","0",
"20001_200214_1_520","520","JPY","0","0",
"25003_511_1_700","700","JPY","0","0",
"25003_517_1_390","390","JPY","0","0",
"25003_564_1_170","170","JPY","0","0",
"21003_210102_1_220","220","JPY","0","0",
"25004_250962_1_430","430","JPY","0","0",
"25003_534_1_330","330","JPY","0","0",
"25003_547_1_290","290","JPY","0","0",
"25005_250712_1_250","250","JPY","0","0",
"25001_250461_1_340","340","JPY","0","0",
"25003_531_1_350","350","JPY","0","0",
"21002_210026_1_310","310","JPY","0","0",
"25001_250462_1_710","710","JPY","0","0",
"25003_511_1_620","620","JPY","0","0",
"25002_250475_1_250","250","JPY","0","0",
"25004_250605_1_730","730","JPY","0","0",
"25003_519_1_900","900","JPY","0","0",
"25003_508_1_640","640","JPY","0","0",
"25004_250593_1_400","400","JPY","0","0",
"21002_210034_1_100","100","JPY","0","0",
"25003_541_1_190","190","JPY","0","0",
"25004_250621_1_630","630","JPY","0","0",
"25003_537_1_160","160","JPY","0","0",
"29005_291022_1_180","180","JPY","0","0",
"21002_210035_1_270","270","JPY","0","0",
"21002_210014_1_390","390","JPY","0","0",
"25004_250605_1_500","500","JPY","0","0",
"25004_250621_1_850","850","JPY","0","0",
"25002_250476_1_250","250","JPY","0","0",
"29005_291021_1_250","250","JPY","0","0",
"25004_250601_1_580","580","JPY","0","0",
"29010_290636_1_240","240","JPY","0","0",
"25003_533_1_320","320","JPY","0","0",
"25003_531_1_930","930","JPY","0","0",
"25004_250621_1_270","270","JPY","0","0",
"25002_250472_1_330","330","JPY","0","0",
"21003_210102_1_360","360","JPY","0","0",
"29007_290112_1_290","290","JPY","0","0",
"29007_290871_1_230","230","JPY","0","0",
"29010_290632_1_450","450","JPY","0","0",
"29005_291022_1_370","370","JPY","0","0",
"29010_290631_1_430","430","JPY","0","0",
"25003_538_1_570","570","JPY","0","0",
"29005_291012_1_240","240","JPY","0","0",
"25003_546_1_600","600","JPY","0","0",
"25004_250594_1_300","300","JPY","0","0",
"25004_250651_1_810","810","JPY","0","0",
"29005_292021_1_170","170","JPY","0","0",
"25002_250476_1_640","640","JPY","0","0",
"29005_292012_1_250","250","JPY","0","0",
"21005_210332_1_290","290","JPY","0","0",
"25003_546_1_440","440","JPY","0","0",
"21005_210331_1_250","250","JPY","0","0",
"25003_533_1_540","540","JPY","0","0",
"21004_210062_1_260","260","JPY","0","0",
"21002_210035_1_230","230","JPY","0","0",
"25004_250612_1_200","200","JPY","0","0",
"21002_210026_1_160","160","JPY","0","0",
"29007_290875_1_200","200","JPY","0","0",
"25004_250621_1_230","230","JPY","0","0",
"25005_250931_1_340","340","JPY","0","0",
"29005_291092_1_450","450","JPY","0","0",
"25001_250462_1_580","580","JPY","0","0",
"25001_250462_1_720","720","JPY","0","0",
"20001_200211_1_430","430","JPY","0","0",
"21002_210022_1_360","360","JPY","0","0",
"21002_210011_1_190","190","JPY","0","0",
"29007_290113_1_280","280","JPY","0","0",
"25002_250475_1_640","640","JPY","0","0",
"21002_210015_1_280","280","JPY","0","0",
"20001_200212_1_190","190","JPY","0","0",
"25003_508_1_250","250","JPY","0","0",
"25002_250475_1_500","500","JPY","0","0",
"25004_250601_1_360","360","JPY","0","0",
"25004_250602_1_260","260","JPY","0","0",
"29005_291011_1_290","290","JPY","0","0",
"25004_250962_1_240","240","JPY","0","0",
"21002_210013_1_260","260","JPY","0","0",
"25002_250472_1_340","340","JPY","0","0",
"29005_291022_1_210","210","JPY","0","0",
"25004_250621_1_690","690","JPY","0","0",
"21002_210042_1_280","280","JPY","0","0",
"29003_290542_1_230","230","JPY","0","0",
"25002_250475_1_730","730","JPY","0","0",
"25003_533_1_160","160","JPY","0","0",
"25003_542_1_200","200","JPY","0","0",
"25004_250605_1_250","250","JPY","0","0",
"25004_250651_1_450","450","JPY","0","0",
"25003_543_1_450","450","JPY","0","0",
"20001_200211_1_510","510","JPY","0","0",
"25003_574_1_680","680","JPY","0","0",
"25004_250621_1_600","600","JPY","0","0",
"25002_250476_1_500","500","JPY","0","0",
"21002_210021_1_170","170","JPY","0","0",
"25003_519_1_400","400","JPY","0","0",
"21002_210041_1_380","380","JPY","0","0",
"25003_511_1_770","770","JPY","0","0",
"25004_250596_1_480","480","JPY","0","0",
"25003_503_1_530","530","JPY","0","0",
"25004_250612_1_350","350","JPY","0","0",
"25006_816_1_410","410","JPY","0","0",
"25004_250592_1_380","380","JPY","0","0",
"25004_250592_1_410","410","JPY","0","0",
"25002_250476_1_730","730","JPY","0","0",
"25004_250622_1_290","290","JPY","0","0",
"25004_250621_1_440","440","JPY","0","0",
"29005_291052_1_490","490","JPY","0","0",
"29006_290811_1_250","250","JPY","0","0",
"25003_546_1_270","270","JPY","0","0",
"25004_250611_1_610","610","JPY","0","0",
"25004_250612_1_460","460","JPY","0","0",
"25003_517_1_680","680","JPY","0","0",
